symbol,url,launch date,years since launch
usdc,https://www.centre.io/usdc,2018-10-31,3.09
zano,https://zano.org/,2019-05-08,2.57
busd,https://www.paxos.com/busd/,2019-09-10,2.23
tt,https://www.thundercore.com/,2018-01-01,3.92
ar,https://www.arweave.org/,2018-06-08,3.49
xdc,https://xinfin.org/,2018-02-05,3.82
omi,https://www.ecomi.com/,2019-05-17,2.55
usdp,https://paxos.com/usdp/,2018-09-10,3.23
dai,https://makerdao.com/en/,2019-11-18,2.04
paxg,https://www.paxos.com/paxgold/,2019-08-29,2.26
usdt,https://tether.to/,2014-10-06,7.16
xem,https://nem.io/,2015-03-31,6.68
ftm,https://fantom.foundation/,2018-06-15,3.47
omg,https://omisego.network/,2017-06-23,4.45
trx,https://tron.network/index?lng=en,2017-09-26,4.19
xlm,https://www.stellar.org/,2014-07-31,7.35
doge,http://dogecoin.com/,2013-12-06,7.99
val,https://validitytech.com/,2015-05-25,6.53
bsv,https://nchain.com/en/,2018-11-15,3.05
etc,http://www.ethereumclassic.org,2016-07-23,5.36
fil,https://filecoin.io/,2017-07-19,4.38
fsn,https://fusion.org/,2018-01-31,3.84
ltc,https://litecoin.com,2011-10-13,10.15
bcna,https://www.bitcanna.io,2019-06-29,2.43
algo,https://algorand.foundation/,2019-06-19,2.46
bat,https://basicattentiontoken.org/,2017-05-31,4.51
btc,https://bitcoin.org/en/,2009-01-03,12.92
bch,https://www.bitcoincash.org/,2017-08-01,4.34
xtz,https://www.tezos.com/,2018-06-30,3.43
luna,https://terra.money/,2018-09-10,3.23
sol,https://solana.com/,2017-11-01,4.09
xrp,https://ripple.com/,2013-01-01,8.92
ada,https://www.cardano.org/en/home/,2017-10-05,4.16
qkc,https://quarkchain.io/,2018-06-02,3.5
link,https://link.smartcontract.com/,2017-09-19,4.21
atom,https://cosmos.network/,2016-09-03,5.25
matic,https://polygon.technology/,2018-03-26,3.69
dash,http://dash.org,2014-01-18,7.88
dero,https://dero.io/,2018-06-27,3.44
eos,https://eos.io/,2017-06-26,4.44
eth,https://www.ethereum.org/,2015-07-30,6.35
klay,https://www.klaytn.com/,2018-10-16,3.13
